ex_date,dividend,payment_date
2024-06-07,320.0,2024-06-26
2023-05-22,320.0,2023-05-26
2022-06-07,240.0,2022-06-24
2021-06-25,122.0,2021-07-13
2020-08-10,130.0,2020-08-24
2018-12-21,2565.0,2018-12-28
2018-12-17,3.26,
2018-07-03,260.0,2018-07-26
2017-04-25,275.0,2017-05-16
2016-04-06,100.0,
2015-11-18,165.0,
2015-04-13,325.0,
2014-04-15,312.5,
2013-04-15,178.5,
2012-05-11,413.5,
2011-05-09,223.2,
2010-09-17,178.5,
2010-04-28,66.95,
2009-04-27,267.5,
2008-05-09,115.0,
2007-05-21,100.0,
2006-05-17,70.0,
2005-05-06,70.0,
2004-11-24,70.0,
2004-05-07,70.0,
2003-12-02,40.0,
2003-06-06,50.0,
2003-01-10,15.0,
2002-06-24,20.0,
